id,name,source,type,regime,score_type,description,url,notes,is_standard,created_by
1,Fran,CrossFit,Girl,Fastest Time,Time (MM:SS),"21-15-9 reps for time of: Thrusters (95/65 lb) and Pull-ups",https://www.crossfit.com/workout/fran,Classic benchmark - one of the original Girl WODs,TRUE,
2,Cindy,CrossFit,Girl,AMRAP,Rounds+Reps,"20 min AMRAP: 5 Pull-ups, 10 Push-ups, 15 Air Squats",https://www.crossfit.com/workout/cindy,Bodyweight benchmark,TRUE,
3,Diane,CrossFit,Girl,Fastest Time,Time (MM:SS),"21-15-9 reps for time of: Deadlifts (225/155 lb) and Handstand Push-ups",https://www.crossfit.com/workout/diane,Heavy deadlifts with gymnastic pressing,TRUE,
4,Helen,CrossFit,Girl,Fastest Time,Time (MM:SS),"3 rounds for time: 400m Run, 21 Kettlebell Swings (53/35 lb), 12 Pull-ups",https://www.crossfit.com/workout/helen,Mixed modal cardio and gymnastics,TRUE,
5,Grace,CrossFit,Girl,Fastest Time,Time (MM:SS),30 Clean & Jerks for time (135/95 lb),https://www.crossfit.com/workout/grace,Pure barbell benchmark,TRUE,
6,Isabel,CrossFit,Girl,Fastest Time,Time (MM:SS),30 Snatches for time (135/95 lb),https://www.crossfit.com/workout/isabel,Olympic lifting benchmark,TRUE,
7,Annie,CrossFit,Girl,Fastest Time,Time (MM:SS),"50-40-30-20-10 reps for time of: Double Unders and Sit-ups",https://www.crossfit.com/workout/annie,Jump rope and core work,TRUE,
8,Nancy,CrossFit,Girl,Fastest Time,Time (MM:SS),"5 rounds for time: 400m Run and 15 Overhead Squats (95/65 lb)",https://www.crossfit.com/workout/nancy,Running and overhead squatting,TRUE,
9,Karen,CrossFit,Girl,Fastest Time,Time (MM:SS),150 Wall Balls for time (20/14 lb to 10/9 ft target),https://www.crossfit.com/workout/karen,High volume wall balls,TRUE,
10,Jackie,CrossFit,Girl,Fastest Time,Time (MM:SS),"For time: 1000m Row, 50 Thrusters (45/35 lb), 30 Pull-ups",https://www.crossfit.com/workout/jackie,Mixed modal sprint workout,TRUE,
11,Amanda,CrossFit,Girl,Fastest Time,Time (MM:SS),"9-7-5 reps for time of: Muscle-ups and Squat Snatches (135/95 lb)",https://www.crossfit.com/workout/amanda,Advanced gymnastics and Olympic lifting,TRUE,
12,Lynne,CrossFit,Girl,Max Weight,Total Reps,"5 rounds for max reps: Bodyweight Bench Press and Pull-ups",https://www.crossfit.com/workout/lynne,Upper body strength test,TRUE,
13,Mary,CrossFit,Girl,AMRAP,Rounds+Reps,"20 min AMRAP: 5 Handstand Push-ups, 10 Pistol Squats, 15 Pull-ups",https://www.crossfit.com/workout/mary,Advanced gymnastics benchmark,TRUE,
14,Eva,CrossFit,Girl,Fastest Time,Time (MM:SS),"5 rounds for time: 800m Run, 30 Kettlebell Swings (53/35 lb), 30 Pull-ups",https://www.crossfit.com/workout/eva,Long chipper with running,TRUE,
15,Kelly,CrossFit,Girl,Fastest Time,Time (MM:SS),"5 rounds for time: 400m Run, 30 Box Jumps (24/20 in), 30 Wall Balls (20/14 lb)",https://www.crossfit.com/workout/kelly,Mixed modal endurance workout,TRUE,
16,Murph,CrossFit,Hero,Fastest Time,Time (MM:SS),"For time (with 20 lb vest): 1 mile Run, 100 Pull-ups, 200 Push-ups, 300 Air Squats, 1 mile Run",https://www.crossfit.com/workout/murph,Memorial Day benchmark - honoring Lt. Michael Murphy,TRUE,
17,DT,CrossFit,Hero,Fastest Time,Time (MM:SS),"5 rounds for time: 12 Deadlifts, 9 Hang Power Cleans, 6 Push Jerks (155/105 lb)",https://www.crossfit.com/workout/dt,Heavy barbell complex,TRUE,
18,Filthy Fifty,CrossFit,Benchmark,Fastest Time,Time (MM:SS),"For time: 50 Box Jumps (24/20 in), 50 Jumping Pull-ups, 50 Kettlebell Swings (35/26 lb), 50 Walking Lunges, 50 Knees-to-Elbows, 50 Push Press (45/35 lb), 50 Back Extensions, 50 Wall Balls (20/14 lb), 50 Burpees, 50 Double Unders",https://www.crossfit.com/workout/filthy-fifty,Classic 500 rep chipper,TRUE,
